ad_id,ad_text,industry,platform,date,day_of_week,hour,impressions,clicks,ctr,cpc,cost,conversions,cvr,revenue,roi,sentiment_score,performance
AD_0152,🔬 Cutting-edge medical technology at your service,healthcare,LinkedIn,2024-09-16,Monday,21,26064,293,0.0113,4.94,1447.45,7,0.0243,892.34,-0.384,0.5,Low
AD_0153,👨‍⚕️ Consult top doctors from home. Telemedicine made simple,healthcare,Facebook,2024-11-22,Friday,14,45813,855,0.0187,1.26,1080.93,20,0.0236,1977.17,0.829,0.5,High
AD_0154,💰 Secure your financial future with our investment platform,finance,Facebook,2024-12-18,Wednesday,12,35268,522,0.0148,0.74,384.91,12,0.0246,1756.58,3.564,0.55,High
AD_0155,💻 Cut costs by 40% with our automated solutions. Try free trial!,tech,LinkedIn,2024-09-06,Friday,13,22776,268,0.0118,2.78,744.38,2,0.0104,712.11,-0.043,0.65,Low
AD_0156,🔒 Protect your assets with our secure solutions,finance,Instagram,2024-03-11,Monday,1,30866,507,0.0165,0.98,496.84,12,0.0256,1316.91,1.651,0.55,High
AD_0157,🔥 Hot deals alert! Don't miss out on savings,ecommerce,Facebook,2024-05-07,Tuesday,6,16317,343,0.0211,0.27,93.9,22,0.0663,975.62,9.39,0.75,High
AD_0158,🔬 Cutting-edge medical technology at your service,healthcare,LinkedIn,2024-05-11,Saturday,12,9502,45,0.0048,4.32,194.39,1,0.0226,119.28,-0.386,0.5,Low
AD_0159,🔥 Hot deals alert! Don't miss out on savings,ecommerce,Facebook,2024-04-07,Sunday,2,14919,243,0.0163,0.63,153.23,17,0.0705,1081.16,6.056,0.75,High
AD_0160,🏥 Book your health checkup online. Easy scheduling!,healthcare,Google Ads,2024-10-17,Thursday,17,20895,1235,0.0591,2.14,2639.39,16,0.0132,1043.76,-0.605,0.5,Low
AD_0161,💡 Innovation meets efficiency. Discover our tech solutions,tech,Facebook,2024-03-28,Thursday,20,11816,192,0.0163,0.2,38.23,3,0.0197,686.6,16.961,0.5,High
AD_0162,🚀 Revolutionary AI software that transforms your business operations!,tech,Google Ads,2024-10-19,Saturday,0,48037,1349,0.0281,1.45,1954.82,7,0.0059,2084.23,0.066,0.65,Medium
AD_0163,💳 Get approved for loans in 24 hours. Apply today!,finance,LinkedIn,2024-11-21,Thursday,0,44194,277,0.0063,3.11,862.81,4,0.0151,451.39,-0.477,0.6,Low
AD_0164,💳 Get approved for loans in 24 hours. Apply today!,finance,LinkedIn,2024-02-19,Monday,15,35636,308,0.0087,4.44,1368.98,4,0.0153,481.31,-0.648,0.6,Low
AD_0165,"🔥 Join 10,000+ companies using our AI-powered platform",tech,LinkedIn,2024-06-29,Saturday,22,35157,383,0.0109,2.79,1070.41,7,0.0196,1471.23,0.374,0.65,Medium
AD_0166,🌟 Premium quality at unbeatable prices,ecommerce,Facebook,2024-03-06,Wednesday,19,16876,383,0.0227,0.9,345.09,29,0.0778,1922.76,4.572,0.8,High
AD_0167,⚡ Speed up your workflow with cutting-edge technology,tech,Instagram,2024-04-30,Tuesday,3,8287,126,0.0152,0.85,107.02,0,0.001,0.0,-1.0,0.65,Low
AD_0168,🎯 Smart automation for modern businesses. Get started today!,tech,Facebook,2024-08-11,Sunday,21,24265,327,0.0135,1.19,387.54,10,0.0314,2750.84,6.098,0.6,High
AD_0169,⚕️ Trusted healthcare providers in your area,healthcare,Instagram,2024-10-04,Friday,6,26559,249,0.0094,1.04,259.43,4,0.0185,494.71,0.907,0.55,High
AD_0170,"🔥 Join 10,000+ companies using our AI-powered platform",tech,Google Ads,2024-02-09,Friday,22,2591,132,0.0512,2.54,334.74,4,0.0366,1605.07,3.795,0.65,High
AD_0171,📦 Free shipping on orders over $50. Limited time!,ecommerce,LinkedIn,2024-11-05,Tuesday,18,20623,215,0.0105,5.92,1273.63,6,0.0298,411.72,-0.677,0.75,Low
AD_0172,💡 Innovation meets efficiency. Discover our tech solutions,tech,Facebook,2024-07-25,Thursday,13,27292,265,0.0097,0.84,223.55,9,0.0376,3283.89,13.69,0.5,High
AD_0173,📦 Free shipping on orders over $50. Limited time!,ecommerce,Instagram,2024-07-15,Monday,20,23890,340,0.0142,1.06,359.95,16,0.0488,1221.45,2.393,0.75,High
AD_0174,🛍️ Flash sale! 50% off on all items. Shop now!,ecommerce,Facebook,2024-11-25,Monday,13,27123,717,0.0265,1.36,978.48,32,0.046,2595.66,1.653,0.7,High
AD_0175,💊 Prescription delivery to your door. Order now!,healthcare,Instagram,2024-06-17,Monday,11,32575,527,0.0162,0.46,242.37,10,0.0196,1268.3,4.233,0.6,High
AD_0176,👨‍⚕️ Consult top doctors from home. Telemedicine made simple,healthcare,Facebook,2024-06-18,Tuesday,5,14281,211,0.0148,1.04,219.79,6,0.0321,408.64,0.859,0.5,High
AD_0177,💎 Luxury items at affordable prices. Shop today!,ecommerce,LinkedIn,2024-06-29,Saturday,13,48295,368,0.0076,3.77,1388.0,11,0.0315,926.1,-0.333,0.6,Low
AD_0178,🌟 Premium quality at unbeatable prices,ecommerce,Instagram,2024-11-26,Tuesday,7,3353,71,0.0212,0.39,27.74,6,0.0915,373.46,12.462,0.8,High
AD_0179,🎯 Smart automation for modern businesses. Get started today!,tech,Instagram,2024-12-08,Sunday,14,45064,482,0.0107,0.93,449.5,12,0.0257,1168.28,1.599,0.6,High
AD_0180,🔒 Protect your assets with our secure solutions,finance,Instagram,2024-08-09,Friday,19,27029,283,0.0105,1.75,495.95,5,0.0211,739.19,0.49,0.55,Medium
AD_0181,🔬 Cutting-edge medical technology at your service,healthcare,Facebook,2024-01-12,Friday,15,36612,563,0.0154,1.76,990.68,5,0.0098,727.5,-0.266,0.5,Low
AD_0182,👗 New collection just dropped. Be the first to shop!,ecommerce,Facebook,2024-07-08,Monday,6,23042,531,0.0231,1.83,971.23,1,0.0031,66.4,-0.932,0.65,Low
AD_0183,⚡ Lightning deals! Save big on trending products,ecommerce,Google Ads,2024-05-12,Sunday,8,49290,2876,0.0584,3.36,9663.64,135,0.0472,10056.74,0.041,0.8,Medium
AD_0184,🛍️ Flash sale! 50% off on all items. Shop now!,ecommerce,Google Ads,2024-07-19,Friday,6,35375,1449,0.041,3.62,5241.46,48,0.0332,3285.0,-0.373,0.7,Low
AD_0185,"🔥 Join 10,000+ companies using our AI-powered platform",tech,Facebook,2024-10-06,Sunday,13,21017,345,0.0164,0.63,217.49,13,0.038,4545.92,19.902,0.65,High
AD_0186,🩺 Advanced healthcare solutions for better living,healthcare,Facebook,2024-09-25,Wednesday,15,4224,87,0.0206,1.44,124.92,0,0.0057,0.0,-1.0,0.5,Low
AD_0187,"💪 Stay healthy, stay happy. Wellness programs available",healthcare,Instagram,2024-11-03,Sunday,0,6109,60,0.0099,0.81,48.85,1,0.0289,58.16,0.19,0.5,Medium
AD_0188,🎯 Smart automation for modern businesses. Get started today!,tech,Google Ads,2024-03-27,Wednesday,12,30009,1835,0.0612,2.11,3880.91,112,0.0615,23834.72,5.142,0.6,High
AD_0189,📊 Smart investment tools for modern investors,finance,Facebook,2024-09-14,Saturday,18,21581,400,0.0185,1.4,561.69,6,0.0169,1026.66,0.828,0.5,High
AD_0190,💎 Luxury items at affordable prices. Shop today!,ecommerce,Instagram,2024-08-02,Friday,16,47389,564,0.0119,1.02,574.74,38,0.0674,3840.15,5.682,0.6,High
AD_0191,🔥 Hot deals alert! Don't miss out on savings,ecommerce,Instagram,2024-10-16,Wednesday,17,46004,508,0.0111,1.02,515.65,6,0.0134,320.55,-0.378,0.75,Low
AD_0192,🌟 Premium quality at unbeatable prices,ecommerce,Twitter,2024-09-29,Sunday,14,4041,37,0.0093,0.49,18.01,1,0.0478,73.42,3.076,0.8,High
AD_0193,⚡ Lightning deals! Save big on trending products,ecommerce,Twitter,2024-04-07,Sunday,7,27015,318,0.0118,1.24,395.15,17,0.054,1289.85,2.264,0.8,High
AD_0194,"🔥 Join 10,000+ companies using our AI-powered platform",tech,LinkedIn,2024-05-02,Thursday,3,25826,327,0.0127,4.28,1400.57,19,0.0592,4457.51,2.183,0.65,High
AD_0195,💳 Get approved for loans in 24 hours. Apply today!,finance,Instagram,2024-03-25,Monday,23,34662,643,0.0186,1.19,762.38,12,0.0198,2978.55,2.907,0.6,High
AD_0196,"💚 Your health, our priority. Comprehensive care plans",healthcare,Instagram,2024-10-08,Tuesday,18,14612,141,0.0097,0.81,113.71,0,0.0044,0.0,-1.0,0.5,Low
AD_0197,📦 Free shipping on orders over $50. Limited time!,ecommerce,Google Ads,2024-11-19,Tuesday,6,3356,171,0.0512,2.88,491.67,7,0.0432,919.9,0.871,0.75,High
AD_0198,🎁 Perfect gifts for every occasion. Browse our store,ecommerce,Instagram,2024-05-20,Monday,5,49479,427,0.0086,1.3,555.67,11,0.0264,1696.83,2.054,0.5,High
AD_0199,🛍️ Flash sale! 50% off on all items. Shop now!,ecommerce,Facebook,2024-10-01,Tuesday,17,17309,183,0.0106,0.97,177.95,11,0.0649,850.77,3.781,0.7,High
AD_0200,📊 Smart investment tools for modern investors,finance,Instagram,2024-01-18,Thursday,1,13803,141,0.0103,1.63,229.77,3,0.0216,553.7,1.41,0.5,High
AD_0201,👗 New collection just dropped. Be the first to shop!,ecommerce,Google Ads,2024-09-04,Wednesday,15,7563,391,0.0517,5.45,2129.47,15,0.0386,1065.66,-0.5,0.65,Low
AD_0202,🚀 Revolutionary AI software that transforms your business operations!,tech,Instagram,2024-08-10,Saturday,9,46350,892,0.0193,1.18,1048.74,34,0.0381,4480.2,3.272,0.65,High
AD_0203,"💪 Stay healthy, stay happy. Wellness programs available",healthcare,LinkedIn,2024-06-20,Thursday,10,20342,188,0.0093,1.74,328.0,5,0.0275,470.89,0.436,0.5,Medium
AD_0204,💰 Secure your financial future with our investment platform,finance,Google Ads,2024-04-08,Monday,15,1525,83,0.0551,3.78,313.38,1,0.0155,202.77,-0.353,0.55,Low
AD_0205,💻 Cut costs by 40% with our automated solutions. Try free trial!,tech,Facebook,2024-06-04,Tuesday,15,5599,92,0.0164,1.71,157.32,5,0.0548,1581.77,9.055,0.65,High
AD_0206,🚀 Revolutionary AI software that transforms your business operations!,tech,Facebook,2024-02-28,Wednesday,4,3113,32,0.0104,1.72,54.88,1,0.0534,365.32,5.656,0.65,High
AD_0207,📦 Free shipping on orders over $50. Limited time!,ecommerce,Google Ads,2024-04-06,Saturday,3,45738,1540,0.0337,1.74,2679.37,2,0.0018,128.43,-0.952,0.75,Low
AD_0208,🩺 Advanced healthcare solutions for better living,healthcare,Google Ads,2024-10-28,Monday,16,7276,186,0.0257,2.92,543.89,4,0.0265,279.55,-0.486,0.5,Low
AD_0209,"💪 Stay healthy, stay happy. Wellness programs available",healthcare,Instagram,2024-12-18,Wednesday,14,20576,221,0.0107,0.86,190.13,0,0.0036,0.0,-1.0,0.5,Low
AD_0210,🔥 Hot deals alert! Don't miss out on savings,ecommerce,Google Ads,2024-04-28,Sunday,18,15135,802,0.053,3.47,2783.18,53,0.0663,4543.74,0.633,0.75,High
AD_0211,💻 Cut costs by 40% with our automated solutions. Try free trial!,tech,Facebook,2024-10-23,Wednesday,6,17001,264,0.0156,0.94,246.98,6,0.0241,1297.05,4.252,0.65,High
AD_0212,📊 Smart investment tools for modern investors,finance,Facebook,2024-09-13,Friday,2,11724,110,0.0094,1.5,165.22,1,0.0136,170.18,0.03,0.5,Medium
AD_0213,💳 Get approved for loans in 24 hours. Apply today!,finance,Google Ads,2024-03-08,Friday,17,7638,374,0.0491,2.85,1064.59,0,0.001,0.0,-1.0,0.6,Low
AD_0214,⚡ Speed up your workflow with cutting-edge technology,tech,Google Ads,2024-01-02,Tuesday,13,43324,1360,0.0314,3.01,4087.38,44,0.0327,8852.65,1.166,0.65,High
AD_0215,"💪 Stay healthy, stay happy. Wellness programs available",healthcare,Google Ads,2024-04-23,Tuesday,1,49320,1627,0.033,2.72,4421.26,32,0.0197,6147.93,0.391,0.5,Medium
AD_0216,📊 Smart investment tools for modern investors,finance,Instagram,2024-10-01,Tuesday,9,30259,385,0.0127,1.42,546.8,6,0.0165,829.91,0.518,0.5,High
AD_0217,💊 Prescription delivery to your door. Order now!,healthcare,LinkedIn,2024-09-23,Monday,7,47733,497,0.0104,3.7,1837.63,19,0.04,1495.9,-0.186,0.6,Low
AD_0218,🎁 Perfect gifts for every occasion. Browse our store,ecommerce,Facebook,2024-06-14,Friday,3,28208,550,0.0195,1.08,593.37,16,0.0304,1085.05,0.829,0.5,High
AD_0219,"🏦 Bank with confidence. Zero fees, maximum returns",finance,Facebook,2024-12-18,Wednesday,8,2667,54,0.0205,1.53,82.79,1,0.0229,175.65,1.121,0.5,High
AD_0220,📈 Grow your wealth with expert financial advice. Start now!,finance,Instagram,2024-01-24,Wednesday,5,39218,492,0.0126,1.55,762.74,2,0.0046,219.08,-0.713,0.65,Low
AD_0221,⚡ Lightning deals! Save big on trending products,ecommerce,Instagram,2024-06-19,Wednesday,3,38574,802,0.0208,0.42,332.98,0,0.001,0.0,-1.0,0.8,Low
AD_0222,"💚 Your health, our priority. Comprehensive care plans",healthcare,Google Ads,2024-09-28,Saturday,12,32010,1477,0.0462,4.75,7010.03,53,0.0364,8286.73,0.182,0.5,Medium
AD_0223,💎 Luxury items at affordable prices. Shop today!,ecommerce,Instagram,2024-06-19,Wednesday,2,29441,126,0.0043,0.73,91.58,0,0.0071,0.0,-1.0,0.6,Low
AD_0224,🌟 Transform your business with AI. Limited time offer!,tech,Google Ads,2024-10-12,Saturday,10,17173,981,0.0572,0.31,308.32,26,0.0273,7264.56,22.562,0.75,High
AD_0225,🛍️ Flash sale! 50% off on all items. Shop now!,ecommerce,LinkedIn,2024-02-05,Monday,7,7012,52,0.0074,3.11,161.57,2,0.0517,272.66,0.688,0.7,High
AD_0226,🎯 Smart automation for modern businesses. Get started today!,tech,Instagram,2024-08-11,Sunday,1,43641,586,0.0134,1.31,766.41,18,0.0318,4410.37,4.755,0.6,High
AD_0227,🔒 Protect your assets with our secure solutions,finance,LinkedIn,2024-07-20,Saturday,20,45139,258,0.0057,3.59,925.82,4,0.0166,359.88,-0.611,0.55,Low
AD_0228,"💚 Your health, our priority. Comprehensive care plans",healthcare,Instagram,2024-03-11,Monday,18,7441,93,0.0126,0.63,58.14,1,0.0186,148.66,1.557,0.5,High
AD_0229,"💪 Stay healthy, stay happy. Wellness programs available",healthcare,Facebook,2024-02-05,Monday,15,43668,564,0.0129,1.75,988.76,13,0.0247,1625.15,0.644,0.5,High
AD_0230,🔥 Hot deals alert! Don't miss out on savings,ecommerce,Instagram,2024-05-09,Thursday,10,29552,449,0.0152,1.02,456.29,25,0.0564,2696.41,4.909,0.75,High
AD_0231,⚡ Speed up your workflow with cutting-edge technology,tech,Facebook,2024-05-08,Wednesday,13,7295,153,0.0211,1.08,164.96,1,0.0109,198.03,0.2,0.65,Medium
AD_0232,"💚 Your health, our priority. Comprehensive care plans",healthcare,Instagram,2024-09-14,Saturday,12,8227,122,0.0149,0.78,94.65,3,0.0303,421.54,3.454,0.5,High
AD_0233,⭐ Award-winning software trusted by industry leaders,tech,Instagram,2024-02-04,Sunday,10,27160,317,0.0117,0.55,174.03,10,0.0346,2810.35,15.148,0.55,High
AD_0234,🌟 Premium quality at unbeatable prices,ecommerce,Facebook,2024-02-15,Thursday,12,24711,658,0.0267,1.98,1302.33,10,0.0153,980.65,-0.247,0.8,Low
AD_0235,⭐ Award-winning software trusted by industry leaders,tech,Instagram,2024-06-09,Sunday,1,29482,445,0.0151,0.38,169.18,0,0.0017,0.0,-1.0,0.55,Low
AD_0236,"💸 Save more, spend wisely. Download our app!",finance,Instagram,2024-08-29,Thursday,15,34893,537,0.0154,1.48,795.63,1,0.0033,175.35,-0.78,0.65,Low
AD_0237,🏥 Book your health checkup online. Easy scheduling!,healthcare,Facebook,2024-03-20,Wednesday,8,11106,137,0.0124,0.71,97.67,4,0.0316,256.58,1.627,0.5,High
AD_0238,📊 Smart investment tools for modern investors,finance,Google Ads,2024-06-19,Wednesday,22,3475,139,0.0402,3.47,481.69,2,0.0168,159.97,-0.668,0.5,Low
AD_0239,💊 Prescription delivery to your door. Order now!,healthcare,LinkedIn,2024-01-12,Friday,20,36196,362,0.01,6.46,2340.33,2,0.0071,226.39,-0.903,0.6,Low
AD_0240,"🏦 Bank with confidence. Zero fees, maximum returns",finance,Facebook,2024-04-30,Tuesday,17,10686,88,0.0083,0.56,49.44,0,0.0097,0.0,-1.0,0.5,Low
AD_0241,🌟 Transform your business with AI. Limited time offer!,tech,Instagram,2024-02-06,Tuesday,7,1207,12,0.0105,1.25,15.02,0,0.0069,0.0,-1.0,0.75,Low
AD_0242,⭐ Award-winning software trusted by industry leaders,tech,LinkedIn,2024-02-15,Thursday,20,16901,141,0.0083,4.04,569.23,2,0.0192,288.93,-0.492,0.55,Low
AD_0243,🔒 Protect your assets with our secure solutions,finance,Facebook,2024-12-28,Saturday,22,33916,728,0.0215,1.27,923.12,10,0.0139,1321.62,0.432,0.55,Medium
AD_0244,⚡ Lightning deals! Save big on trending products,ecommerce,Instagram,2024-06-10,Monday,15,11699,198,0.017,1.4,277.35,12,0.0616,1235.53,3.455,0.8,High
AD_0245,🩺 Advanced healthcare solutions for better living,healthcare,Facebook,2024-06-26,Wednesday,17,19792,201,0.0102,0.77,155.36,0,0.0016,0.0,-1.0,0.5,Low
AD_0246,🎯 Financial planning made simple. Book consultation,finance,Google Ads,2024-03-15,Friday,19,38174,2200,0.0576,1.37,3010.8,40,0.0184,5045.09,0.676,0.5,High
AD_0247,📈 Grow your wealth with expert financial advice. Start now!,finance,Instagram,2024-04-17,Wednesday,13,37875,210,0.0055,1.49,312.34,2,0.0135,404.97,0.297,0.65,Medium
AD_0248,⚡ Lightning deals! Save big on trending products,ecommerce,LinkedIn,2024-11-14,Thursday,0,29495,331,0.0112,3.95,1307.57,19,0.0587,1281.78,-0.02,0.8,Low
AD_0249,⚡ Lightning deals! Save big on trending products,ecommerce,Google Ads,2024-11-21,Thursday,18,9984,551,0.0552,2.62,1443.74,0,0.001,0.0,-1.0,0.8,Low
AD_0250,👨‍⚕️ Consult top doctors from home. Telemedicine made simple,healthcare,Instagram,2024-06-22,Saturday,17,36298,368,0.0101,1.37,505.16,3,0.0093,327.04,-0.353,0.5,Low
AD_0251,🔬 Cutting-edge medical technology at your service,healthcare,Google Ads,2024-05-09,Thursday,17,12871,519,0.0403,2.55,1325.52,13,0.0266,1626.48,0.227,0.5,Medium
AD_0252,"💪 Stay healthy, stay happy. Wellness programs available",healthcare,LinkedIn,2024-12-28,Saturday,10,19268,187,0.0097,2.86,534.35,3,0.0205,335.08,-0.373,0.5,Low
AD_0253,💳 Get approved for loans in 24 hours. Apply today!,finance,Google Ads,2024-08-10,Saturday,12,43913,2270,0.0517,0.48,1099.59,24,0.0108,3532.33,2.212,0.6,High
AD_0254,🎯 Financial planning made simple. Book consultation,finance,Twitter,2024-01-17,Wednesday,10,26032,163,0.0063,0.69,112.82,0,0.0058,0.0,-1.0,0.5,Low
AD_0255,⚕️ Trusted healthcare providers in your area,healthcare,Facebook,2024-05-29,Wednesday,21,7406,91,0.0124,1.61,146.52,1,0.0169,126.13,-0.139,0.55,Low
AD_0256,🔒 Protect your assets with our secure solutions,finance,Google Ads,2024-01-15,Monday,4,42779,848,0.0198,3.41,2893.75,19,0.0232,3213.66,0.111,0.55,Medium
AD_0257,📦 Free shipping on orders over $50. Limited time!,ecommerce,Instagram,2024-12-05,Thursday,14,34535,450,0.0131,1.53,688.87,14,0.0327,726.53,0.055,0.75,Medium
AD_0258,⭐ Award-winning software trusted by industry leaders,tech,Google Ads,2024-01-06,Saturday,23,11837,505,0.0427,3.26,1645.87,11,0.0232,1886.66,0.146,0.55,Medium
AD_0259,🎯 Financial planning made simple. Book consultation,finance,Instagram,2024-12-04,Wednesday,20,6542,119,0.0183,1.32,156.8,0,0.0035,0.0,-1.0,0.5,Low
AD_0260,📈 Grow your wealth with expert financial advice. Start now!,finance,LinkedIn,2024-07-01,Monday,8,48076,283,0.0059,4.22,1193.69,4,0.0171,704.27,-0.41,0.65,Low
AD_0261,🔥 Hot deals alert! Don't miss out on savings,ecommerce,Facebook,2024-09-09,Monday,2,30300,234,0.0077,2.19,512.24,4,0.0177,316.15,-0.383,0.75,Low
AD_0262,🔥 Hot deals alert! Don't miss out on savings,ecommerce,Google Ads,2024-05-02,Thursday,20,15056,624,0.0415,4.21,2628.11,41,0.0659,3595.92,0.368,0.75,Medium
AD_0263,🏥 Book your health checkup online. Easy scheduling!,healthcare,Google Ads,2024-08-27,Tuesday,2,26000,989,0.0381,1.77,1749.86,13,0.0139,2414.57,0.38,0.5,Medium
AD_0264,📊 Smart investment tools for modern investors,finance,Facebook,2024-03-29,Friday,23,42674,623,0.0146,1.64,1023.12,0,0.001,0.0,-1.0,0.5,Low
AD_0265,🌟 Transform your business with AI. Limited time offer!,tech,Google Ads,2024-02-08,Thursday,20,26431,1283,0.0486,2.24,2877.83,39,0.0308,10508.21,2.651,0.75,High
AD_0266,⭐ Award-winning software trusted by industry leaders,tech,Facebook,2024-03-05,Tuesday,22,25034,523,0.0209,1.48,772.04,8,0.0157,2779.29,2.6,0.55,High
AD_0267,🛍️ Flash sale! 50% off on all items. Shop now!,ecommerce,Facebook,2024-01-18,Thursday,10,39278,961,0.0245,0.88,850.19,28,0.0292,3042.73,2.579,0.7,High
AD_0268,🎯 Smart automation for modern businesses. Get started today!,tech,Google Ads,2024-05-19,Sunday,11,11759,623,0.053,2.69,1674.88,25,0.0412,4831.01,1.884,0.6,High
AD_0269,👨‍⚕️ Consult top doctors from home. Telemedicine made simple,healthcare,Instagram,2024-04-04,Thursday,16,12824,96,0.0075,0.8,76.71,1,0.0114,88.3,0.151,0.5,Medium
AD_0270,👨‍⚕️ Consult top doctors from home. Telemedicine made simple,healthcare,Facebook,2024-03-07,Thursday,5,7910,117,0.0149,1.48,172.65,4,0.0346,739.1,3.281,0.5,High
AD_0271,🌟 Transform your business with AI. Limited time offer!,tech,Instagram,2024-08-28,Wednesday,21,17905,311,0.0174,1.43,444.42,12,0.04,2810.67,5.324,0.75,High
AD_0272,🔒 Protect your assets with our secure solutions,finance,Facebook,2024-12-20,Friday,18,40896,442,0.0108,0.26,113.22,5,0.0117,578.91,4.113,0.55,High
AD_0273,💳 Get approved for loans in 24 hours. Apply today!,finance,LinkedIn,2024-06-28,Friday,20,19544,169,0.0087,6.36,1074.87,0,0.0054,0.0,-1.0,0.6,Low
AD_0274,💎 Luxury items at affordable prices. Shop today!,ecommerce,LinkedIn,2024-04-09,Tuesday,21,29044,242,0.0084,3.9,942.74,11,0.0457,1302.17,0.381,0.6,Medium
AD_0275,⭐ Award-winning software trusted by industry leaders,tech,Facebook,2024-12-15,Sunday,9,21714,326,0.0151,1.03,334.17,9,0.0301,1090.69,2.264,0.55,High
AD_0276,📈 Grow your wealth with expert financial advice. Start now!,finance,Instagram,2024-06-20,Thursday,11,25858,391,0.0151,0.73,284.28,6,0.0171,1044.83,2.675,0.65,High
AD_0277,🔥 Hot deals alert! Don't miss out on savings,ecommerce,Facebook,2024-09-25,Wednesday,8,28044,372,0.0133,0.35,129.88,18,0.049,2563.93,18.74,0.75,High
AD_0278,"💚 Your health, our priority. Comprehensive care plans",healthcare,Facebook,2024-03-18,Monday,12,6926,160,0.0232,1.5,239.89,4,0.03,509.52,1.124,0.5,High
AD_0279,💊 Prescription delivery to your door. Order now!,healthcare,Google Ads,2024-04-02,Tuesday,12,23656,967,0.0409,1.29,1252.13,27,0.0279,3572.06,1.853,0.6,High
AD_0280,⚡ Lightning deals! Save big on trending products,ecommerce,Facebook,2024-09-28,Saturday,9,45522,952,0.0209,1.11,1052.18,67,0.0705,3980.17,2.783,0.8,High
AD_0281,🌟 Transform your business with AI. Limited time offer!,tech,LinkedIn,2024-04-16,Tuesday,0,3159,46,0.0146,4.82,221.87,1,0.0356,359.11,0.619,0.75,High
AD_0282,⭐ Award-winning software trusted by industry leaders,tech,Facebook,2024-11-19,Tuesday,9,20873,251,0.012,1.51,379.3,9,0.0364,3007.47,6.929,0.55,High
AD_0283,"💸 Save more, spend wisely. Download our app!",finance,Instagram,2024-03-26,Tuesday,20,24762,330,0.0134,1.49,491.3,10,0.0321,1320.16,1.687,0.65,High
AD_0284,📊 Smart investment tools for modern investors,finance,LinkedIn,2024-09-20,Friday,23,39356,154,0.0039,5.54,853.17,1,0.0119,96.86,-0.886,0.5,Low
AD_0285,📈 Grow your wealth with expert financial advice. Start now!,finance,Google Ads,2024-12-16,Monday,20,4586,186,0.0406,3.58,665.01,3,0.0183,357.13,-0.463,0.65,Low
AD_0286,🎯 Smart automation for modern businesses. Get started today!,tech,Instagram,2024-11-02,Saturday,14,1161,24,0.0214,1.48,35.6,1,0.0496,367.18,9.314,0.6,High
AD_0287,💡 Innovation meets efficiency. Discover our tech solutions,tech,Facebook,2024-10-11,Friday,4,13693,272,0.0199,0.52,140.88,10,0.0383,3136.25,21.262,0.5,High
AD_0288,🎯 Smart automation for modern businesses. Get started today!,tech,Twitter,2024-05-06,Monday,23,11258,86,0.0077,0.64,55.21,1,0.0118,235.48,3.265,0.6,High
AD_0289,👨‍⚕️ Consult top doctors from home. Telemedicine made simple,healthcare,Google Ads,2024-03-18,Monday,4,2651,69,0.0261,2.36,163.17,1,0.0277,151.76,-0.07,0.5,Low
AD_0290,⚡ Lightning deals! Save big on trending products,ecommerce,Facebook,2024-11-18,Monday,5,31447,697,0.0222,0.68,474.51,40,0.0579,2294.32,3.835,0.8,High
AD_0291,💎 Luxury items at affordable prices. Shop today!,ecommerce,Twitter,2024-11-09,Saturday,9,46657,386,0.0083,1.08,416.97,5,0.0144,441.84,0.06,0.6,Medium
AD_0292,📦 Free shipping on orders over $50. Limited time!,ecommerce,Google Ads,2024-06-30,Sunday,2,19284,879,0.0456,0.73,643.04,30,0.0348,2780.7,3.324,0.75,High
AD_0293,💳 Get approved for loans in 24 hours. Apply today!,finance,Google Ads,2024-11-30,Saturday,21,49201,1098,0.0223,0.1,109.8,19,0.0178,3133.84,27.541,0.6,High
AD_0294,🔬 Cutting-edge medical technology at your service,healthcare,Instagram,2024-02-05,Monday,12,44619,551,0.0124,1.06,583.17,7,0.014,958.13,0.643,0.5,High
AD_0295,🎯 Smart automation for modern businesses. Get started today!,tech,Instagram,2024-07-27,Saturday,3,14975,221,0.0148,0.77,170.31,5,0.0231,1243.13,6.299,0.6,High
AD_0296,🔬 Cutting-edge medical technology at your service,healthcare,Facebook,2024-09-18,Wednesday,23,9461,101,0.0107,0.74,74.97,1,0.0116,86.78,0.158,0.5,Medium
AD_0297,🔥 Hot deals alert! Don't miss out on savings,ecommerce,Instagram,2024-11-15,Friday,20,42800,929,0.0217,0.89,828.25,29,0.0322,2310.24,1.789,0.75,High
AD_0298,📦 Free shipping on orders over $50. Limited time!,ecommerce,Facebook,2024-09-19,Thursday,7,33262,170,0.0051,1.62,276.14,6,0.0405,445.87,0.615,0.75,High
AD_0299,🏥 Book your health checkup online. Easy scheduling!,healthcare,Instagram,2024-08-28,Wednesday,17,42903,350,0.0082,1.06,369.33,1,0.0044,100.95,-0.727,0.5,Low
AD_0300,🎁 Perfect gifts for every occasion. Browse our store,ecommerce,Instagram,2024-09-08,Sunday,2,32703,261,0.008,1.23,320.2,3,0.0128,162.71,-0.492,0.5,Low
AD_0301,"💚 Your health, our priority. Comprehensive care plans",healthcare,LinkedIn,2024-09-09,Monday,13,34365,207,0.006,3.27,676.92,6,0.0302,1295.25,0.913,0.5,High
AD_0302,⚡ Speed up your workflow with cutting-edge technology,tech,Facebook,2024-01-18,Thursday,1,47760,929,0.0195,1.53,1423.87,29,0.0322,10358.78,6.275,0.65,High
